Transcript stable ID	HGNC symbol
ENST00000613631	TPO
ENST00000572513	KRTAP9-2
ENST00000621155	KIR3DL2
ENST00000612733	KIR3DL2
ENST00000615880	KIR3DL3
ENST00000575341	KRTAP9-4
ENST00000571096	KRTAP9-3
ENST00000618713	KIR3DL3
ENST00000630933	KCNQ2
ENST00000628732	KCNQ2
ENST00000629338	KCNQ2
ENST00000628790	KCNQ2
ENST00000628544	KCNQ2
ENST00000627948	KCNQ2
ENST00000627416	KCNQ2
ENST00000626723	KCNQ2
ENST00000629641	KCNQ2
ENST00000626962	KCNQ2
ENST00000629518	KCNQ2
ENST00000626100	KCNQ2
ENST00000629322	KCNQ2
ENST00000630648	KCNQ2
ENST00000625248	KCNQ2
ENST00000627088	KCNQ2
ENST00000629665	KCNQ2
ENST00000625847	KCNQ2
ENST00000630174	KCNQ2
ENST00000576125	KRTAP29-1
ENST00000610587	KIR3DL2
ENST00000622574	KIR3DL2
ENST00000571104	KRTAP9-2
ENST00000570861	KRTAP9-4
ENST00000576511	KRTAP9-6
ENST00000616438	KIR3DL2
ENST00000622784	KIR3DL2
ENST00000573531	KRTAP9-7
ENST00000620455	KIR2DL4
ENST00000612364	KIR2DL4
ENST00000615139	KIR2DL4
ENST00000622322	KIR2DL4
ENST00000619802	KIR2DL4
ENST00000621932	KIR2DL4
ENST00000621636	KIR2DL4
ENST00000613629	KIR2DL4
ENST00000614619	KIR2DL4
ENST00000616667	KIR2DL4
ENST00000574737	KRTAP29-1
ENST00000570825	KRTAP9-9
ENST00000618870	KIR2DL2
ENST00000628700	FTCD
ENST00000628009	FTCD
ENST00000628259	FTCD
ENST00000625846	FTCD
ENST00000625714	FTCD
ENST00000628730	FTCD
ENST00000625428	FTCD
ENST00000629394	FTCD
ENST00000631005	FTCD
ENST00000626208	FTCD
ENST00000618364	KIR2DS2
ENST00000620062	KIR3DL1
ENST00000614464	KIR3DL1
ENST00000614639	KIR2DS4
ENST00000633573	SINHCAF
ENST00000631598	SINHCAF
ENST00000617411	SINHCAF
ENST00000633702	SINHCAF
ENST00000631546	SINHCAF
ENST00000633815	SINHCAF
ENST00000632259	SINHCAF
ENST00000632726	SINHCAF
ENST00000632692	SINHCAF
ENST00000618388	KIR2DL2
ENST00000622644	KIR2DL3
ENST00000630343	LSS
ENST00000626535	LSS
ENST00000630761	LSS
ENST00000627118	LSS
ENST00000630702	LSS
ENST00000625576	LSS
ENST00000625491	LSS
ENST00000625682	LSS
ENST00000625922	LSS
ENST00000631948	SBNO2
ENST00000622719	SBNO2
ENST00000634172	SBNO2
ENST00000631689	SBNO2
ENST00000632999	SBNO2
ENST00000631752	SBNO2
ENST00000631951	SBNO2
ENST00000632777	SBNO2
ENST00000633604	SBNO2
ENST00000631778	SBNO2
ENST00000612198	SBNO2
ENST00000616642	KIR2DL1
ENST00000614006	PROP1
ENST00000632301	CTDP1
ENST00000632932	CTDP1
ENST00000632450	CTDP1
ENST00000632905	CTDP1
ENST00000632255	CTDP1
ENST00000617731	RPS17
ENST00000633731	RPS17
ENST00000632419	RPS17
ENST00000632799	RPS17
ENST00000632240	RPS17
ENST00000634150	RPS17
ENST00000632592	RPS17
ENST00000632530	RPS17
ENST00000633919	RPS17
ENST00000620588	KIR2DL1
ENST00000631596	ERICH1
ENST00000632053	ERICH1
ENST00000633278	ERICH1
ENST00000625471	PRB1
ENST00000620127	PRB1
ENST00000628976	PRB1
ENST00000615646	PRB1
ENST00000612920	PRB1
ENST00000621273	KIR2DL5A
ENST00000617741	NCR1
ENST00000615158	NCR1
ENST00000617565	NCR1
ENST00000616589	NCR1
ENST00000622620	NCR1
ENST00000611792	NCR1
ENST00000614704	NCR1
ENST00000616564	NCR1
ENST00000611996	KIR2DS1
ENST00000623152	GARRE1
ENST00000623194	GARRE1
ENST00000625057	GARRE1
ENST00000624578	GARRE1
ENST00000623727	GARRE1
ENST00000614379	KIR2DL4
ENST00000622043	KIR3DL3
ENST00000575811	LSM14A
ENST00000575110	LSM14A
ENST00000570462	LSM14A
ENST00000575697	LSM14A
ENST00000570386	LSM14A
ENST00000624888	LSM14A
ENST00000623285	LSM14A
ENST00000575388	LSM14A
ENST00000633133	GOLGA6L10
ENST00000632087	GOLGA6L10
ENST00000611944	GOLGA6L10
ENST00000617825	KIR2DS4
ENST00000614753	KIR3DL2
ENST00000613029	KIR3DL2
ENST00000572659	DSEL
ENST00000614976	NCR1
ENST00000616747	NCR1
ENST00000611120	NCR1
ENST00000611608	KIR3DL2
ENST00000622579	KIR3DL2
ENST00000632265	CPEB1
ENST00000633598	CPEB1
ENST00000616775	CPEB1
ENST00000632172	CPEB1
ENST00000632305	CPEB1
ENST00000619696	CPEB1
ENST00000633293	CPEB1
ENST00000620212	CPEB1
ENST00000631674	CPEB1
ENST00000632526	CPEB1
ENST00000632883	CPEB1
ENST00000633369	CPEB1
ENST00000634018	CPEB1
ENST00000633271	CPEB1
ENST00000631406	CPEB1
ENST00000632436	CPEB1
ENST00000634185	CPEB1
ENST00000610719	CPEB1
ENST00000622463	KIR2DL1
ENST00000611849	KIR2DL1
ENST00000619072	CRIM1
ENST00000613124	CRIM1
ENST00000619935	CRIM1
ENST00000618495	SPATC1L
ENST00000621926	SPATC1L
ENST00000633655	DLGAP2
ENST00000633162	DLGAP2
ENST00000631255	SLC45A2
ENST00000626332	SLC45A2
ENST00000626082	SLC45A2
ENST00000631273	SLC45A2
ENST00000620281	KIR2DL5B
ENST00000616205	RXFP3
ENST00000625675	ADAMTS12
ENST00000627759	ADAMTS12
ENST00000630537	ADAMTS12
ENST00000630002	ADAMTS12
ENST00000613010	KIR3DL3
ENST00000611451	KIR3DL1
ENST00000621759	KIR3DL1
ENST00000616302	KIR2DL1
ENST00000618563	KIR2DL1
ENST00000626496	CYFIP1
ENST00000625601	CYFIP1
ENST00000625276	CYFIP1
ENST00000628954	CYFIP1
ENST00000630629	CYFIP1
ENST00000628956	CYFIP1
ENST00000626546	CYFIP1
ENST00000627204	CYFIP1
ENST00000627013	CYFIP1
ENST00000628747	CYFIP1
ENST00000630158	CYFIP1
ENST00000627816	CYFIP1
ENST00000624713	APOBEC3A
ENST00000623492	APOBEC3A
ENST00000572661	APOBEC3A
ENST00000570508	APOBEC3A
ENST00000612660	KIR2DL4
ENST00000614339	KIR2DL4
ENST00000620484	KIR2DL4
ENST00000622255	KIR2DL4
ENST00000619195	KIR2DL4
ENST00000628115	AP2A2
ENST00000628187	AP2A2
